       PID	   SERVICE	      WAIT	  RESPONSE
        46	        12	       826	       838
        15	        11	       840	       851
        75	        10	       855	       865
        31	        11	       991	      1002
        48	        15	      1198	      1213
         5	        14	      1203	      1217
        61	        13	      1236	      1249
         3	        16	      1243	      1259
        26	        16	      1246	      1262
        42	        16	      1409	      1425
        29	        20	      1568	      1588
        22	        18	      1605	      1623
        34	        20	      1646	      1666
        87	        19	      1781	      1800
        66	        21	      1913	      1934
        97	        23	      1949	      1972
        47	        21	      1997	      2018
        68	        21	      2061	      2082
        24	        24	      2117	      2141
         8	        28	      2275	      2303
        38	        32	      2709	      2741
        30	        29	      2734	      2763
        27	        32	      2740	      2772
        74	        29	      2761	      2790
        69	        35	      2937	      2972
        81	        34	      3059	      3093
        18	        34	      3080	      3114
        92	        38	      3198	      3236
        14	        37	      3226	      3263
        12	        38	      3265	      3303
        36	        38	      3267	      3305
        50	        37	      3353	      3390
         1	        43	      3450	      3493
        28	        44	      3465	      3509
        35	        43	      3577	      3620
        49	        41	      3590	      3631
        56	        45	      3706	      3751
        45	        46	      3725	      3771
        57	        48	      3743	      3791
        40	        45	      3752	      3797
        32	        47	      3751	      3798
        21	        48	      3752	      3800
        82	        45	      3780	      3825
        70	        46	      3834	      3880
        63	        48	      3852	      3900
        89	        52	      3975	      4027
        10	        49	      3981	      4030
        58	        51	      4047	      4098
        23	        54	      4238	      4292
        91	        57	      4380	      4437
        79	        59	      4441	      4500
        65	        58	      4471	      4529
        73	        62	      4551	      4613
         2	        62	      4557	      4619
        62	        61	      4557	      4618
        19	        63	      4558	      4621
        86	        64	      4595	      4659
        93	        64	      4599	      4663
        85	        61	      4635	      4696
        54	        62	      4650	      4712
        78	        66	      4739	      4805
        72	        65	      4742	      4807
        16	        66	      4769	      4835
        60	        65	      4774	      4839
        76	        68	      4773	      4841
        13	        65	      4778	      4843
        53	        70	      4878	      4948
        43	        72	      4884	      4956
        64	        69	      4891	      4960
         4	        70	      4898	      4968
        83	        71	      4905	      4976
        55	        72	      4913	      4985
        84	        76	      5000	      5076
        96	        73	      5022	      5095
        77	        77	      5109	      5186
        25	        80	      5113	      5193
        11	        81	      5207	      5288
        20	        87	      5279	      5366
        88	        87	      5293	      5380
        94	        87	      5298	      5385
        95	        89	      5362	      5451
        98	        90	      5361	      5451
        67	        89	      5367	      5456
        51	        89	      5356	      5445
        99	        90	      5355	      5445
        59	        92	      5350	      5442
        33	        91	      5356	      5447
        37	        94	      5412	      5506
        90	        93	      5402	      5495
        52	        93	      5402	      5495
         6	        97	      5462	      5559
        71	        97	      5435	      5532
        17	        97	      5436	      5533
       100	       101	      5467	      5568
         7	       104	      5456	      5560
        44	       104	      5457	      5561
        39	       106	      5507	      5613
         9	       105	      5463	      5568
        41	       109	      5473	      5582
        80	       109	      5452	      5561

Average Service Time: 56.36
Average Wait Time: 3880.96
Average Response Time: 3937.32
Time Quantum: 4
<--Finished Round Robin-->
