       PID	   SERVICE	      WAIT	  RESPONSE
        48	        15	         0	        15
        75	        10	         1	        11
        15	        11	        19	        30
        46	        12	        32	        44
        31	        11	         0	        11
        61	        13	        48	        61
         5	        14	        70	        84
         3	        16	        69	        85
        42	        16	        43	        59
        26	        16	       100	       116
        66	        21	       134	       155
        22	        18	       136	       154
        87	        19	       108	       127
        29	        20	       188	       208
        34	        20	       176	       196
        47	        21	       192	       213
        68	        21	       200	       221
        97	        23	       261	       284
        24	        24	       231	       255
         8	        28	       301	       329
        30	        29	       288	       317
        74	        29	       307	       336
        27	        32	       343	       375
        38	        32	       385	       417
        18	        34	       397	       431
        81	        34	       432	       466
        69	        35	       503	       538
        50	        37	       500	       537
        14	        37	       575	       612
        12	        38	       602	       640
        36	        38	       636	       674
        92	        38	       706	       744
        49	        41	       698	       739
        35	        43	       745	       788
         1	        43	       840	       883
        28	        44	       879	       923
        56	        45	       932	       977
        40	        45	       940	       985
        82	        45	       977	      1022
        70	        46	      1003	      1049
        45	        46	      1103	      1149
        32	        47	      1120	      1167
        63	        48	      1134	      1182
        21	        48	      1213	      1261
        57	        48	      1268	      1316
        10	        49	      1307	      1356
        58	        51	      1337	      1388
        89	        52	      1417	      1469
        23	        54	      1448	      1502
        91	        57	      1526	      1583
        65	        58	      1538	      1596
        79	        59	      1613	      1672
        73	        62	      1731	      1793
        62	        61	      1767	      1828
        85	        61	      1782	      1843
         2	        62	      1903	      1965
        54	        62	      1899	      1961
        19	        63	      2013	      2076
        93	        64	      2050	      2114
        86	        64	      2114	      2178
        60	        65	      2173	      2238
        13	        65	      2229	      2294
        72	        65	      2314	      2379
        16	        66	      2369	      2435
        78	        66	      2452	      2518
        76	        68	      2498	      2566
        64	        69	      2573	      2642
         4	        70	      2640	      2710
        53	        70	      2729	      2799
        83	        71	      2765	      2836
        43	        72	      2858	      2930
        55	        72	      2901	      2973
        96	        73	      2974	      3047
        84	        76	      3085	      3161
        77	        77	      3149	      3226
        25	        80	      3213	      3293
        11	        81	      3283	      3364
        20	        87	      3431	      3518
        94	        87	      3467	      3554
        88	        87	      3596	      3683
        95	        89	      3690	      3779
        51	        89	      3757	      3846
        67	        89	      3862	      3951
        99	        90	      3933	      4023
        98	        90	      4045	      4135
        33	        91	      4068	      4159
        59	        92	      4189	      4281
        90	        93	      4280	      4373
        52	        93	      4352	      4445
        37	        94	      4486	      4580
         6	        97	      4598	      4695
        71	        97	      4659	      4756
        17	        97	      4748	      4845
       100	       101	      4863	      4964
        44	       104	      4945	      5049
         7	       104	      5056	      5160
         9	       105	      5145	      5250
        39	       106	      5300	      5406
        80	       109	      5343	      5452
        41	       109	      5474	      5583

Average Service Time: 56.36
Average Wait Time: 1937.72
Average Response Time: 1994.08
<--Finished Shortest Run Time First-->
